Comment,Designator,Footprint,LCSC
MCP4716A0T-E/CH,U10,SOT-23-6,C110057
1000,"R10,R11,R14,R15,R16,R18,R20,R21,R22,R23,R24,R26,R28,R29,R30,R31,R32,R34,R4,R46,R47,R48,R49,R5",R_0402_1005Metric,C11702
CBW201209U121T,FB1,R_0805_2012Metric,C139186
"PCA9557PW,118",U8,TSSOP-16_4.4x5mm_P0.65mm,C141380
ADP122AUJZ-3.3-R7 ,U4,TSOT-23-5,C143910
100n,"C1,C10,C11,C12,C13,C19,C20,C21,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
30p,"C14,C15",C_0402_1005Metric,C1570
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
4.7u,"C16,C17",C_0805_2012Metric,C1779
RP2040,U5,QFN-56-RP2040,C2040
27,"R2,R3",R_0402_1005Metric,C25100
10k,"R1,R12,R17,R25,R33,R36,R38,R40,R41,R6,R8",R_0402_1005Metric,C25744
47k,"R13,R19,R27,R35,R37,R39,R50,R7,R9",R_0402_1005Metric,C25792
4.7k,R42,R_0402_1005Metric,C25900
5.1k,"R43,R44",R_0402_1005Metric,C25905
7.5k,R45,R_0402_1005Metric,C25918
LMV339,"U2,U6",TSSOP-14_4.4x5mm_P0.65mm,C273648
W25Q16JVUXIQ,U1,USON8_3x2mm,C2843335
1u,"C2,C3",C_0402_1005Metric,C52923
mSMD110-16V,F1,Fuse_1210_3225Metric,C70102
USBLC6-2SC6,U3,SOT-23-6,C7519
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
