Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,48.35,-7.25,90.0,top
C2,1u,C_0402_1005Metric,43.999584,-15.130976,0.0,top
C3,1u,C_0402_1005Metric,43.999583,-14.130977,0.0,top
C4,100n,C_0402_1005Metric,44.645587,-10.181229,0.0,top
C5,100n,C_0402_1005Metric,32.226256,-12.832879,180.0,top
C6,100n,C_0402_1005Metric,44.645587,-11.171178,0.0,top
C7,100n,C_0402_1005Metric,41.562578,-16.605215,-90.0,top
C8,100n,C_0402_1005Metric,37.498112,-17.125,-90.0,top
C9,100n,C_0402_1005Metric,37.098112,-5.52019,90.0,top
C10,100n,C_0402_1005Metric,32.226256,-11.832879,180.0,top
C11,100n,C_0402_1005Metric,41.367782,-5.53557,90.0,top
C12,100n,C_0402_1005Metric,44.6475,-12.15,0.0,top
C13,100n,C_0402_1005Metric,43.999584,-16.130977,0.0,top
C14,30p,C_0402_1005Metric,31.398438,-5.8743,0.0,top
C15,30p,C_0402_1005Metric,29.050101,-10.8,0.0,top
C16,4.7u,C_0805_2012Metric,54.0375,-16.075,90.0,top
C17,4.7u,C_0805_2012Metric,47.3625,-16.075,90.0,top
C19,100n,C_0402_1005Metric,3.896609,-17.33952,-90.0,top
C20,100n,C_0402_1005Metric,13.377379,-17.3,-90.0,top
C21,100n,C_0402_1005Metric,33.2125,-16.83125,0.0,top
F1,mSMD110-16V,Fuse_1210_3225Metric,57.435676,-16.0625,180.0,top
FB1,CBW201209U121T,R_0805_2012Metric,68.056926,-11.25048,180.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,61.981926,-3.51,180.0,top
R1,10k,R_0402_1005Metric,48.35,-5.3,-90.0,top
R2,27,R_0402_1005Metric,47.33438,-12.74231,180.0,top
R3,27,R_0402_1005Metric,47.33438,-13.742311,0.0,top
R4,1000,R_0402_1005Metric,48.8,-3.8,180.0,top
R5,1000,R_0402_1005Metric,31.4,-10.8,0.0,top
R6,10k,R_0402_1005Metric,4.358629,-13.825,90.0,top
R7,47k,R_0402_1005Metric,4.958629,-22.525,180.0,top
R8,10k,R_0402_1005Metric,6.433629,-13.825,90.0,top
R9,47k,R_0402_1005Metric,7.258629,-22.525,180.0,top
R10,1000,R_0402_1005Metric,31.19875,-15.725,0.0,top
R11,1000,R_0402_1005Metric,28.94875,-15.3,90.0,top
R12,10k,R_0402_1005Metric,12.208629,-13.82,90.0,top
R13,47k,R_0402_1005Metric,11.708629,-22.525,0.0,top
R14,1000,R_0402_1005Metric,28.05,-22.55,0.0,top
R15,1000,R_0402_1005Metric,30.6,-22.525,0.0,top
R16,1000,R_0402_1005Metric,33.15,-22.525,0.0,top
R17,10k,R_0402_1005Metric,10.158629,-13.81,90.0,top
R18,1000,R_0402_1005Metric,35.7,-22.525,0.0,top
R19,47k,R_0402_1005Metric,9.433629,-22.525,0.0,top
R20,1000,R_0402_1005Metric,38.3,-22.55,0.0,top
R21,1000,R_0402_1005Metric,40.85,-22.55,0.0,top
R22,1000,R_0402_1005Metric,43.35,-22.525,0.0,top
R23,1000,R_0402_1005Metric,45.85,-22.525,0.0,top
R24,1000,R_0402_1005Metric,48.4,-22.525,0.0,top
R25,10k,R_0402_1005Metric,13.833629,-13.825,90.0,top
R26,1000,R_0402_1005Metric,51.0,-22.525,0.0,top
R27,47k,R_0402_1005Metric,14.408629,-22.525,180.0,top
R28,1000,R_0402_1005Metric,53.55,-22.525,0.0,top
R29,1000,R_0402_1005Metric,56.1,-22.525,0.0,top
R30,1000,R_0402_1005Metric,58.65,-22.525,0.0,top
R31,1000,R_0402_1005Metric,61.2,-22.525,0.0,top
R32,1000,R_0402_1005Metric,63.75,-22.525,0.0,top
R33,10k,R_0402_1005Metric,15.908629,-13.825,90.0,top
R34,1000,R_0402_1005Metric,66.25,-22.525,0.0,top
R35,47k,R_0402_1005Metric,16.698629,-22.525,0.0,top
R36,10k,R_0402_1005Metric,21.683629,-13.825,90.0,top
R37,47k,R_0402_1005Metric,21.258629,-22.525,0.0,top
R38,10k,R_0402_1005Metric,19.633629,-13.825,90.0,top
R39,47k,R_0402_1005Metric,18.958629,-22.525,0.0,top
R40,10k,R_0402_1005Metric,42.7,-5.575,90.0,top
R41,10k,R_0402_1005Metric,33.215,-18.01875,180.0,top
R42,4.7k,R_0402_1005Metric,33.215,-19.24375,0.0,top
R43,5.1k,R_0402_1005Metric,63.581926,-10.17548,-90.0,top
R44,5.1k,R_0402_1005Metric,60.106926,-10.17548,-90.0,top
R45,7.5k,R_0402_1005Metric,3.183629,-19.75,90.0,top
R46,1000,R_0402_1005Metric,3.183629,-21.75,-90.0,top
R47,1000,R_0402_1005Metric,71.385,-22.525,0.0,top
R48,1000,R_0402_1005Metric,68.775,-22.525,0.0,top
R49,1000,R_0402_1005Metric,62.9,-14.25,90.0,top
R50,47k,R_0402_1005Metric,68.4,-12.75,0.0,top
U1,W25Q16JVUXIQ,USON8_3x2mm,46.298112,-6.14519,-90.0,top
U2,LMV339,TSSOP-14_4.4x5mm_P0.65mm,8.284109,-17.81452,0.0,top
U3,USBLC6-2SC6,SOT-23-6,55.194426,-12.32548,180.0,top
U4,ADP122AUJZ-3.3-R7 ,TSOT-23-5,50.65,-16.08327,180.0,top
U5,RP2040,QFN-56-RP2040,38.39438,-11.30481,-90.0,top
U6,LMV339,TSSOP-14_4.4x5mm_P0.65mm,17.752379,-17.8,0.0,top
U8,"PCA9557PW,118",TSSOP-16_4.4x5mm_P0.65mm,66.225,-17.175,90.0,top
U10,MCP4716A0T-E/CH,SOT-23-6,30.03375,-18.03125,180.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,30.248439,-8.3243,180.0,top
